name,slug,category,country,founded,target_audience,mrr,revenue_30d,revenue_total,customers,active_subs,growth_30d,growth_mrr_30d,rank,profitable
Larafast,larafast,Developer Tools,AM,2024-02-17T00:00:00.000Z,,0.0,0.0,82566.29,0,0,-100.0,0.0,409.0,False
getchase.ai,getchase-ai,Uncategorized,LT,2025-04-25T13:12:03.000Z,,3000.0,0.0,948.09,0,1,0.0,0.0,2274.0,False
Mues AI,mues-ai,Artificial Intelligence,EE,2025-05-16T07:39:24.000Z,B2B,0.0,0.0,900.0,0,0,0.0,0.0,2306.0,False
BusinessPlanez,businessplanez,Marketing,MD,2024-02-22T00:00:00.000Z,B2B,0.0,0.0,452.75,0,0,0.0,0.0,2733.0,False
Classifast,classifast,SaaS,LV,2025-05-07T00:00:00.000Z,B2B,0.0,0.0,49.0,0,0,-100.0,,4111.0,False
Toolbar,toolbar,Developer Tools,EE,2025-01-20T08:14:20.000Z,B2B,0.0,0.0,80.36337093415845,0,0,0.0,0.0,3805.0,False
Prepora,prepora,Education,UZ,2025-09-28T21:50:09.000Z,Both,0.0,0.0,0.0,0,0,,,,False
Tarot Go,tarot-go,Artificial Intelligence,UA,2025-05-26T11:49:03.000Z,B2C,0.0,0.0,13.96,0,0,-100.0,-100.0,4702.0,False
Xarchive,xarchive,Social Media,EE,2023-10-30T05:24:03.000Z,B2C,0.0,0.0,4.99,0,0,0.0,0.0,5030.0,False
VoiceJournal.io,voicejournal-io,Productivity,UA,2025-11-05T16:15:24.000Z,B2B,0.0,0.0,0.0,0,0,,,,False
LeadsFuel.io,leadsfuel-io,Sales,UA,2025-11-06T00:00:00.000Z,B2B,0.0,0.0,498.0,0,0,0.0,0.0,2675.0,False
Threadlabs Incorporated,threadlabs-incorporated,Social Media,EE,2025-06-18T16:58:42.000Z,B2C,0.0,0.0,0.0,0,0,,,,False
BeliveMRR,belivemrr,Analytics,EE,2025-12-17T22:50:14.000Z,,0.0,0.0,0.0,0,0,,,,False
InnoByte,innobyte,Artificial Intelligence,EE,2025-07-18T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
FastMCP,fastmcp,Developer Tools,KZ,2025-09-17T00:00:00.000Z,B2B,0.0,0.0,75.0,0,0,0.0,0.0,3847.0,False
MODDS.WATCH,modds-watch,IoT & Hardware,MD,2025-04-10T00:00:00.000Z,B2C,0.0,0.0,160.53,0,0,0.0,0.0,3355.0,False
"Porada, LLC",porada-llc,Education,UA,2023-08-14T11:56:52.000Z,Both,0.0,0.0,2494.6600000000003,0,0,0.0,0.0,1707.0,False
"Cliptext.me - Turn video and audio into clean, ready-to-use text in seconds",cliptext-me-turn-video-and-audio-into-clean-ready-to-use-text-in-seconds,Content Creation,UA,2025-09-05T00:00:00.000Z,Both,0.0,0.0,253.99,0,0,0.0,0.0,3082.0,False
PhotoMeh,photomeh,Artificial Intelligence,LV,2025-08-15T11:46:22.000Z,B2C,0.0,0.0,16.779468532409023,0,0,0.0,0.0,4634.0,False
Partners,partners,SaaS,MD,2025-10-27T19:37:31.000Z,B2B,0.0,0.0,0.0,0,0,,,,False
RealtimeForm: Build forms with AI,realtimeform-build-forms-with-ai,Artificial Intelligence,LT,2025-12-01T00:00:00.000Z,B2B,0.0,0.0,0.0,0,0,,,,False
ChatFolders,chatfolders,Productivity,UZ,2024-11-17T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
stagecaptions.io,stagecaptions-io,SaaS,LT,2026-01-22T00:00:00.000Z,B2B,0.0,0.0,499.443859238481,0,0,-100.0,0.0,2672.0,False
Mockerito,mockerito,Developer Tools,LT,2026-01-22T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Calorify,calorify,Health & Fitness,LV,2025-11-22T00:00:00.000Z,B2C,93.73,0.0,375.19,0,25,0.0,0.0,2852.0,False
VamosPRO,vamospro,Artificial Intelligence,LV,2025-09-03T11:29:20.000Z,B2C,0.0,0.0,8.66443633006553,0,0,-100.0,-100.0,4905.0,False
Clarity,clarity,Fintech,EE,2025-06-02T00:00:00.000Z,B2C,0.0,0.0,189.89,0,0,-100.0,-100.0,3261.0,False
Vibee,vibee,Analytics,UZ,,,0.0,0.0,0.0,0,0,,,,False
MockupBee.io,mockupbee-io,E-commerce,LV,2025-08-06T00:00:00.000Z,,18.0,0.0,15.3,0,2,0.0,100.0,4653.0,False
kpiboard.io,kpiboard-io,Analytics,UA,2025-11-10T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Hookr,hookr,Productivity,UA,2026-01-17T00:00:00.000Z,B2C,0.0,0.0,14.16,0,0,0.0,0.0,4685.0,False
BookBadge,bookbadge,Education,EE,2022-04-10T00:00:00.000Z,B2C,0.0,0.0,20.0,0,0,0.0,0.0,4536.0,False
"RichPredict - Football Predictions, Free Tips, Betting Tips",richpredict-football-predictions-free-tips-betting-tips,Games,AZ,2024-04-01T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
VibeShield,vibeshield,Developer Tools,LV,2025-12-23T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Family Challenge,family-challenge,Education,AM,2026-01-16T00:00:00.000Z,,8.16,0.0,20.78,0,1,0.0,1.0387782091604918,4526.0,False
MVPScope,mvpscope,Artificial Intelligence,UA,,B2B,0.0,0.0,6.006889966775475,0,0,-100.0,0.0,4957.0,False
Nutshellapp,nutshellapp,Artificial Intelligence,EE,2023-06-15T00:00:00.000Z,B2C,0.0,0.0,4674.246280024829,0,0,-18.072289156626507,0.0,1388.0,False
HEXAGEN.WORLD,hexagen-world,Games,EE,2025-01-01T00:00:00.000Z,,0.0,0.0,34.86188073854081,0,0,-100.0,0.0,4299.0,False
Deepsearch AI: Truthfinder,deepsearch-ai-truthfinder,Mobile Apps,EE,2025-10-03T00:00:00.000Z,B2C,0.0,0.0,1446.47,0,0,-100.0,0.0,2025.0,False
AgentGov,agentgov,Developer Tools,UZ,2026-01-29T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
codefor.food,codefor-food,Productivity,EE,2025-11-01T00:00:00.000Z,B2C,0.0,0.0,29.67087318777537,0,0,0.0,0.0,4370.0,False
viralclone.click,viralclone-click,Content Creation,UA,2026-02-16T00:00:00.000Z,B2C,0.0,0.0,9.0,0,0,0.0,0.0,4881.0,False
drills.golf,drills-golf,Artificial Intelligence,EE,2024-05-31T00:00:00.000Z,B2C,50.0,0.0,3203.1770984172463,0,3,-100.0,-88.61129972432941,1584.0,False
clawz,clawz,SaaS,EE,2026-02-08T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
RTMPS.IO,rtmps-io,Content Creation,EE,2026-02-01T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
bubutales,bubutales,Entertainment,UA,2025-01-22T00:00:00.000Z,B2C,0.0,0.0,58.6,0,0,0.0,0.0,4003.0,False
FreelanceHQ,freelancehq,Productivity,UZ,2026-02-28T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Unifin,unifin,Fintech,UZ,2025-12-14T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Speaktalent,speaktalent,Recruiting & HR,UZ,2025-11-20T00:00:00.000Z,B2B,0.0,0.0,1.0,0,0,0.0,0.0,5236.0,False
ChurnAnalyzer,churnanalyzer,Analytics,LT,2026-03-07T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
1 Pixel Workout,1-pixel-workout,Health & Fitness,UA,2025-01-01T00:00:00.000Z,B2C,0.0,0.0,5.9,0,0,-100.0,,4967.0,False
English Now,english-now,Education,UA,,,0.0,0.0,0.0,0,0,,,,False
DepLog,deplog,Developer Tools,UA,2025-11-03T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
AnDocs,andocs,Analytics,UA,2026-03-13T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Doodledumper,doodledumper,Design Tools,EE,2025-11-05T00:00:00.000Z,B2C,0.0,0.0,43.96,0,0,0.0,0.0,4168.0,False
DocSeek,docseek,SaaS,UA,2026-03-05T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
cultures.today,cultures-today,Content Creation,AM,,,0.0,0.0,0.0,0,0,,,,False
BloodMarker,bloodmarker,Analytics,LT,2026-03-18T00:00:00.000Z,B2C,0.0,0.0,23.34320082198479,0,0,-100.0,0.0,4489.0,False
Shorz,shorz,Content Creation,EE,2024-04-02T00:00:00.000Z,B2C,0.0,0.0,212.5829888371304,0,0,-100.0,0.0,3187.0,False
Snipsco,snipsco,Developer Tools,MD,2026-02-25T00:00:00.000Z,,0.0,0.0,0.0,0,0,0.0,0.0,,False
Sörk,s-rk,SaaS,EE,2026-01-07T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Splatting - AI Photo Studio,splatting-ai-photo-studio,Artificial Intelligence,EE,2025-04-28T00:00:00.000Z,,0.0,0.0,0.0,0,0,0.0,0.0,,False
